2024-10-08 22:11:21,407 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProyectoExa/src/main/resources
2024-10-08 22:11:21,407 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoExa/src/test/java
2024-10-08 22:11:22,153 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ProyectoExa
2024-10-08 22:11:22,155 [Worker-33] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2024-10-08 22:11:22,610 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:11:22,612 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-08 22:11:22,613 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:11:22,614 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\src\test\resources
2024-10-08 22:11:22,614 [Worker-38] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoExa
2024-10-08 22:11:22,614 [Worker-38] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoExa
2024-10-08 22:11:22,616 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:12:36,607 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:12:36,610 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-08 22:12:36,611 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:12:36,611 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\src\test\resources
2024-10-08 22:12:47,399 [Worker-35] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-08 22:12:47,656 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProyectoMaven:ProyectoExa:0.0.1-SNAPSHOT @ C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\pom.xml.
2024-10-08 22:12:48,500 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoExa/src/main/java
2024-10-08 22:12:48,500 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProyectoExa/src/main/resources
2024-10-08 22:12:48,501 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoExa/src/test/java
2024-10-08 22:12:49,540 [Worker-35] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ProyectoExa
2024-10-08 22:12:49,543 [Worker-35] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2024-10-08 22:12:50,280 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:12:50,282 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-08 22:12:50,283 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:12:50,284 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\src\test\resources
2024-10-08 22:12:50,284 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoExa
2024-10-08 22:12:50,284 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoExa
2024-10-08 22:12:50,287 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:13:09,551 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:13:09,556 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-08 22:13:09,557 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:13:09,557 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\src\test\resources
2024-10-08 22:13:19,227 [Worker-40] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-08 22:13:19,478 [Worker-40] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProyectoMaven:ProyectoExa:0.0.1-SNAPSHOT @ C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\pom.xml.
2024-10-08 22:13:20,195 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoExa/src/main/java
2024-10-08 22:13:20,196 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProyectoExa/src/main/resources
2024-10-08 22:13:20,196 [Worker-40] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoExa/src/test/java
2024-10-08 22:13:20,838 [Worker-40] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ProyectoExa
2024-10-08 22:13:20,841 [Worker-40] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2024-10-08 22:13:21,617 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:13:21,618 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-08 22:13:21,618 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:13:21,619 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\src\test\resources
2024-10-08 22:13:21,619 [Worker-39] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoExa
2024-10-08 22:13:21,619 [Worker-39] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoExa
2024-10-08 22:13:21,620 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-09 20:39:28,378 [Worker-111] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
